# file created by code in factory_simulation.jl,,,,,,
# file created on 2023-10-30 16:21:59,,,,,,
# parameter:,,,,,,
# seed = 1,,,,,,
# mean_interarrival = 60.0,,,,,,
# mean_construction_time = 25.0,,,,,,
# mean_interbreakdown_time = 2880.0,,,,,,
# mean_repair_time = 180.0,,,,,,
# T = 1000.0,,,,,,
# time units = minutes,,,,,,
time, event_id, event_type, length_event_list, length_queue, in_service, machine_status
0,0,Arrival,1,0,0,0
25,4,Departure,2,0,1,0
40.49940643,3,Arrival,1,0,0,0
51.69359364,6,Arrival,2,0,1,0
65.49940643,7,Departure,2,1,1,0
90.49940643,10,Departure,2,0,1,0
117.2350183,8,Arrival,1,0,0,0
142.2350183,13,Departure,2,0,1,0
150,2,Breakdown,1,0,0,0
182.9866697,12,Arrival,1,0,0,1
209.0964677,16,Arrival,1,1,0,1
378.3393017,17,Arrival,1,2,0,1
449.0162963,18,Arrival,1,3,0,1
450.5289899,19,Arrival,1,4,0,1
471.849193,20,Arrival,1,5,0,1
494.5677569,21,Arrival,1,6,0,1
515.3493351,22,Arrival,1,7,0,1
643.6678402,23,Arrival,1,8,0,1
665.4803608,24,Arrival,1,9,0,1
666.4093488,25,Arrival,1,10,0,1
722.6450731,26,Arrival,1,11,0,1
730.5865406,15,Repair,1,12,0,1
755.5865406,29,Departure,2,11,1,0
764.1816717,27,Arrival,2,10,1,0
780.5865406,31,Departure,2,11,1,0
784.1905608,32,Arrival,2,10,1,0
805.5865406,34,Departure,2,11,1,0
813.2073074,35,Arrival,2,10,1,0
830.5865406,37,Departure,2,11,1,0
850.963168,38,Arrival,2,10,1,0
855.5865406,40,Departure,2,11,1,0
880.5865406,43,Departure,2,10,1,0
905.5865406,45,Departure,2,9,1,0
930.5865406,47,Departure,2,8,1,0
933.2845552,41,Arrival,2,7,1,0
955.5865406,49,Departure,2,8,1,0
980.5865406,52,Departure,2,7,1,0
983.7667244,50,Arrival,2,6,1,0
1005.586541,54,Departure,2,7,1,0
